Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
161121,My Own Country: A Doctor's Story,Abraham   Verghese,"Verghese, Abraham",,"=""0679752927""","=""9780679752929""",0,4.22,Vintage,Paperback,432,1995,1994,,2023/12/15,"to-read, nyc-collection","to-read (#154), nyc-collection (#155)",to-read,,,,0,0
63219094,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""""","=""""",3,4.58,Entangled: Red Tower Books,Kindle Edition,663,2023,2023,2023/12/13,2023/10/10,,,read,,,,1,0
32718027,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,"Chakraborty, S.A.",,"=""0062678108""","=""9780062678102""",0,4.14,Harper Voyager,Hardcover,532,2017,2017,,2023/12/12,to-read,to-read (#153),to-read,,,,0,0
58462431,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""0812993543""","=""9780812993547""",4,4.40,Spiegel & Grau,Hardcover,152,2015,2015,2023/12/08,2023/10/05,nyc-collection,nyc-collection (#131),read,,,,1,0
63024280,The Maid,Nita Prose,"Prose, Nita",,"=""0593356179""","=""9780593356173""",3,3.76,Ballantine Books,Paperback,336,2023,2022,2023/12/06,2023/03/06,nyc-collection,nyc-collection (#147),read,,,,1,0
162058282,Red Notice How I Became Putin's No. 1 Enemy Paperback 11 Feb 2016,Bill Browder,"Browder, Bill",,"=""""","=""""",0,4.44,Generic,Paperback,0,,2015,,2023/12/03,nyc-collection,nyc-collection (#154),read,,,,1,0
20785044,Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0606353143""","=""9780606353144""",0,3.96,Turtleback Books,Library Binding,784,2015,2013,,2023/11/11,"to-read, nyc-collection","to-read (#148), nyc-collection (#153)",to-read,,,,0,0
5359,The Client,John Grisham,"Grisham, John",,"=""0385339089""","=""9780385339087""",4,4.06,Delta Trade Paperbacks,Paperback,483,2005,1993,2011/10/04,2011/09/22,nyc-collection,nyc-collection (#151),read,,,,1,0
11529868,The Orphan Master's Son,Adam  Johnson,"Johnson, Adam",,"=""0812992792""","=""9780812992793""",5,4.07,Random House,Hardcover,443,2012,2012,,2023/01/16,"favorites, essential-five, nyc-collection","favorites (#1), essential-five (#2), nyc-collection (#149)",read,,,,1,0
60406087,American Pastoral,Philip Roth,"Roth, Philip",,"=""0375701427""","=""9780375701429""",0,3.94,Vintage International,Paperback,423,2016,1997,,2023/11/11,"to-read, nyc-collection","to-read (#147), nyc-collection (#148)",to-read,,,,0,0
